file_name,label,instrument,type_of_sound,root_note,chord_type
1960.wav,C#:7,guitar,Nylon_Concerto_Guitar,C#,7
1961.wav,D:7,guitar,Nylon_Concerto_Guitar,D,7
1962.wav,A:hdim7,guitar,Nylon_Concerto_Guitar,A,hdim7
1963.wav,A#:hdim7,guitar,Nylon_Concerto_Guitar,A#,hdim7
1964.wav,B:hdim7,guitar,Nylon_Concerto_Guitar,B,hdim7
1965.wav,C:hdim7,guitar,Nylon_Concerto_Guitar,C,hdim7
1966.wav,C#:hdim7,guitar,Nylon_Concerto_Guitar,C#,hdim7
1967.wav,D:hdim7,guitar,Nylon_Concerto_Guitar,D,hdim7
1968.wav,D#:hdim7,guitar,Nylon_Concerto_Guitar,D#,hdim7
1969.wav,E:hdim7,guitar,Nylon_Concerto_Guitar,E,hdim7
1970.wav,F:hdim7,guitar,Nylon_Concerto_Guitar,F,hdim7
1971.wav,F#:hdim7,guitar,Nylon_Concerto_Guitar,F#,hdim7
1972.wav,G:hdim7,guitar,Nylon_Concerto_Guitar,G,hdim7
1973.wav,G#:hdim7,guitar,Nylon_Concerto_Guitar,G#,hdim7
1974.wav,A:hdim7,guitar,Nylon_Concerto_Guitar,A,hdim7
1975.wav,F:hdim7,guitar,Nylon_Concerto_Guitar,F,hdim7
1976.wav,F#:hdim7,guitar,Nylon_Concerto_Guitar,F#,hdim7
1977.wav,G:hdim7,guitar,Nylon_Concerto_Guitar,G,hdim7
1978.wav,G#:hdim7,guitar,Nylon_Concerto_Guitar,G#,hdim7
1979.wav,A:hdim7,guitar,Nylon_Concerto_Guitar,A,hdim7
1980.wav,A#:hdim7,guitar,Nylon_Concerto_Guitar,A#,hdim7
1981.wav,B:hdim7,guitar,Nylon_Concerto_Guitar,B,hdim7
1982.wav,C:hdim7,guitar,Nylon_Concerto_Guitar,C,hdim7
1983.wav,C#:hdim7,guitar,Nylon_Concerto_Guitar,C#,hdim7
1984.wav,D:hdim7,guitar,Nylon_Concerto_Guitar,D,hdim7
1985.wav,D#:hdim7,guitar,Nylon_Concerto_Guitar,D#,hdim7
1986.wav,E:hdim7,guitar,Nylon_Concerto_Guitar,E,hdim7
1987.wav,F:hdim7,guitar,Nylon_Concerto_Guitar,F,hdim7
1988.wav,E:hdim7,guitar,Nylon_Concerto_Guitar,E,hdim7
1989.wav,F:hdim7,guitar,Nylon_Concerto_Guitar,F,hdim7
1990.wav,F#:hdim7,guitar,Nylon_Concerto_Guitar,F#,hdim7
1991.wav,G:hdim7,guitar,Nylon_Concerto_Guitar,G,hdim7
1992.wav,G#:hdim7,guitar,Nylon_Concerto_Guitar,G#,hdim7
1993.wav,A:hdim7,guitar,Nylon_Concerto_Guitar,A,hdim7
1994.wav,A#:hdim7,guitar,Nylon_Concerto_Guitar,A#,hdim7
1995.wav,B:hdim7,guitar,Nylon_Concerto_Guitar,B,hdim7
1996.wav,C:hdim7,guitar,Nylon_Concerto_Guitar,C,hdim7
1997.wav,C#:hdim7,guitar,Nylon_Concerto_Guitar,C#,hdim7
1998.wav,D:hdim7,guitar,Nylon_Concerto_Guitar,D,hdim7
1999.wav,D#:hdim7,guitar,Nylon_Concerto_Guitar,D#,hdim7
2000.wav,E:hdim7,guitar,Nylon_Concerto_Guitar,E,hdim7
2001.wav,E:maj,guitar,Guitar_Open,E,maj
2002.wav,F:maj,guitar,Guitar_Open,F,maj
2003.wav,F#:maj,guitar,Guitar_Open,F#,maj
2004.wav,G:maj,guitar,Guitar_Open,G,maj
2005.wav,G#:maj,guitar,Guitar_Open,G#,maj
2006.wav,A:maj,guitar,Guitar_Open,A,maj
2007.wav,A#:maj,guitar,Guitar_Open,A#,maj
2008.wav,B:maj,guitar,Guitar_Open,B,maj
2009.wav,C:maj,guitar,Guitar_Open,C,maj
2010.wav,C#:maj,guitar,Guitar_Open,C#,maj
2011.wav,D:maj,guitar,Guitar_Open,D,maj
2012.wav,D#:maj,guitar,Guitar_Open,D#,maj
2013.wav,E:maj,guitar,Guitar_Open,E,maj
2014.wav,A:maj,guitar,Guitar_Open,A,maj
2015.wav,A#:maj,guitar,Guitar_Open,A#,maj
2016.wav,B:maj,guitar,Guitar_Open,B,maj
2017.wav,C:maj,guitar,Guitar_Open,C,maj
2018.wav,C#:maj,guitar,Guitar_Open,C#,maj
2019.wav,D:maj,guitar,Guitar_Open,D,maj
2020.wav,D#:maj,guitar,Guitar_Open,D#,maj
2021.wav,E:maj,guitar,Guitar_Open,E,maj
2022.wav,F:maj,guitar,Guitar_Open,F,maj
2023.wav,F#:maj,guitar,Guitar_Open,F#,maj
2024.wav,G:maj,guitar,Guitar_Open,G,maj
2025.wav,G#:maj,guitar,Guitar_Open,G#,maj
2026.wav,A:maj,guitar,Guitar_Open,A,maj
2027.wav,D:maj,guitar,Guitar_Open,D,maj
2028.wav,D#:maj,guitar,Guitar_Open,D#,maj
2029.wav,E:maj,guitar,Guitar_Open,E,maj
2030.wav,F:maj,guitar,Guitar_Open,F,maj
2031.wav,F#:maj,guitar,Guitar_Open,F#,maj
2032.wav,G:maj,guitar,Guitar_Open,G,maj
2033.wav,G#:maj,guitar,Guitar_Open,G#,maj
2034.wav,A:maj,guitar,Guitar_Open,A,maj
2035.wav,A#:maj,guitar,Guitar_Open,A#,maj
2036.wav,B:maj,guitar,Guitar_Open,B,maj
2037.wav,C:maj,guitar,Guitar_Open,C,maj
2038.wav,C#:maj,guitar,Guitar_Open,C#,maj
2039.wav,D:maj,guitar,Guitar_Open,D,maj
2040.wav,E:min,guitar,Guitar_Open,E,min
2041.wav,F:min,guitar,Guitar_Open,F,min
2042.wav,F#:min,guitar,Guitar_Open,F#,min
2043.wav,G:min,guitar,Guitar_Open,G,min
2044.wav,G#:min,guitar,Guitar_Open,G#,min
2045.wav,A:min,guitar,Guitar_Open,A,min
2046.wav,A#:min,guitar,Guitar_Open,A#,min
2047.wav,B:min,guitar,Guitar_Open,B,min
2048.wav,C:min,guitar,Guitar_Open,C,min
2049.wav,C#:min,guitar,Guitar_Open,C#,min
2050.wav,D:min,guitar,Guitar_Open,D,min
2051.wav,D#:min,guitar,Guitar_Open,D#,min
2052.wav,E:min,guitar,Guitar_Open,E,min
2053.wav,A:min,guitar,Guitar_Open,A,min
2054.wav,A#:min,guitar,Guitar_Open,A#,min
2055.wav,B:min,guitar,Guitar_Open,B,min
2056.wav,C:min,guitar,Guitar_Open,C,min
2057.wav,C#:min,guitar,Guitar_Open,C#,min
2058.wav,D:min,guitar,Guitar_Open,D,min
2059.wav,D#:min,guitar,Guitar_Open,D#,min
2060.wav,E:min,guitar,Guitar_Open,E,min
2061.wav,F:min,guitar,Guitar_Open,F,min
2062.wav,F#:min,guitar,Guitar_Open,F#,min
2063.wav,G:min,guitar,Guitar_Open,G,min
2064.wav,G#:min,guitar,Guitar_Open,G#,min
2065.wav,A:min,guitar,Guitar_Open,A,min
2066.wav,D:min,guitar,Guitar_Open,D,min
2067.wav,D#:min,guitar,Guitar_Open,D#,min
2068.wav,E:min,guitar,Guitar_Open,E,min
2069.wav,F:min,guitar,Guitar_Open,F,min
2070.wav,F#:min,guitar,Guitar_Open,F#,min
2071.wav,G:min,guitar,Guitar_Open,G,min
2072.wav,G#:min,guitar,Guitar_Open,G#,min
2073.wav,A:min,guitar,Guitar_Open,A,min
2074.wav,A#:min,guitar,Guitar_Open,A#,min
2075.wav,B:min,guitar,Guitar_Open,B,min
2076.wav,C:min,guitar,Guitar_Open,C,min
2077.wav,C#:min,guitar,Guitar_Open,C#,min
2078.wav,D:min,guitar,Guitar_Open,D,min
2079.wav,E:maj7,guitar,Guitar_Open,E,maj7
2080.wav,F:maj7,guitar,Guitar_Open,F,maj7
2081.wav,F#:maj7,guitar,Guitar_Open,F#,maj7
2082.wav,G:maj7,guitar,Guitar_Open,G,maj7
2083.wav,G#:maj7,guitar,Guitar_Open,G#,maj7
2084.wav,A:maj7,guitar,Guitar_Open,A,maj7
2085.wav,A#:maj7,guitar,Guitar_Open,A#,maj7
2086.wav,B:maj7,guitar,Guitar_Open,B,maj7
2087.wav,C:maj7,guitar,Guitar_Open,C,maj7
2088.wav,C#:maj7,guitar,Guitar_Open,C#,maj7
2089.wav,D:maj7,guitar,Guitar_Open,D,maj7
2090.wav,D#:maj7,guitar,Guitar_Open,D#,maj7
2091.wav,E:maj7,guitar,Guitar_Open,E,maj7
2092.wav,C:maj7,guitar,Guitar_Open,C,maj7
2093.wav,C#:maj7,guitar,Guitar_Open,C#,maj7
2094.wav,D:maj7,guitar,Guitar_Open,D,maj7
2095.wav,D#:maj7,guitar,Guitar_Open,D#,maj7
2096.wav,E:maj7,guitar,Guitar_Open,E,maj7
2097.wav,F:maj7,guitar,Guitar_Open,F,maj7
2098.wav,F#:maj7,guitar,Guitar_Open,F#,maj7
2099.wav,G:maj7,guitar,Guitar_Open,G,maj7
2100.wav,G#:maj7,guitar,Guitar_Open,G#,maj7
2101.wav,A:maj7,guitar,Guitar_Open,A,maj7
2102.wav,A#:maj7,guitar,Guitar_Open,A#,maj7
2103.wav,B:maj7,guitar,Guitar_Open,B,maj7
2104.wav,C:maj7,guitar,Guitar_Open,C,maj7
2105.wav,F:maj7,guitar,Guitar_Open,F,maj7
2106.wav,F#:maj7,guitar,Guitar_Open,F#,maj7
2107.wav,G:maj7,guitar,Guitar_Open,G,maj7
2108.wav,G#:maj7,guitar,Guitar_Open,G#,maj7
2109.wav,A:maj7,guitar,Guitar_Open,A,maj7
2110.wav,A#:maj7,guitar,Guitar_Open,A#,maj7
2111.wav,B:maj7,guitar,Guitar_Open,B,maj7
2112.wav,C:maj7,guitar,Guitar_Open,C,maj7
2113.wav,C#:maj7,guitar,Guitar_Open,C#,maj7
2114.wav,D:maj7,guitar,Guitar_Open,D,maj7
2115.wav,D#:maj7,guitar,Guitar_Open,D#,maj7
2116.wav,E:maj7,guitar,Guitar_Open,E,maj7
2117.wav,F:maj7,guitar,Guitar_Open,F,maj7
2118.wav,E:min7,guitar,Guitar_Open,E,min7
2119.wav,F:min7,guitar,Guitar_Open,F,min7
2120.wav,F#:min7,guitar,Guitar_Open,F#,min7
2121.wav,G:min7,guitar,Guitar_Open,G,min7
2122.wav,G#:min7,guitar,Guitar_Open,G#,min7
2123.wav,A:min7,guitar,Guitar_Open,A,min7
2124.wav,A#:min7,guitar,Guitar_Open,A#,min7
2125.wav,B:min7,guitar,Guitar_Open,B,min7
2126.wav,C:min7,guitar,Guitar_Open,C,min7
2127.wav,C#:min7,guitar,Guitar_Open,C#,min7
2128.wav,D:min7,guitar,Guitar_Open,D,min7
2129.wav,D#:min7,guitar,Guitar_Open,D#,min7
2130.wav,E:min7,guitar,Guitar_Open,E,min7
2131.wav,A:min7,guitar,Guitar_Open,A,min7
2132.wav,A#:min7,guitar,Guitar_Open,A#,min7
2133.wav,B:min7,guitar,Guitar_Open,B,min7
2134.wav,C:min7,guitar,Guitar_Open,C,min7
2135.wav,C#:min7,guitar,Guitar_Open,C#,min7
2136.wav,D:min7,guitar,Guitar_Open,D,min7
2137.wav,D#:min7,guitar,Guitar_Open,D#,min7
2138.wav,E:min7,guitar,Guitar_Open,E,min7
2139.wav,F:min7,guitar,Guitar_Open,F,min7
2140.wav,F#:min7,guitar,Guitar_Open,F#,min7
2141.wav,G:min7,guitar,Guitar_Open,G,min7
2142.wav,G#:min7,guitar,Guitar_Open,G#,min7
2143.wav,A:min7,guitar,Guitar_Open,A,min7
2144.wav,D:min7,guitar,Guitar_Open,D,min7
2145.wav,D#:min7,guitar,Guitar_Open,D#,min7
2146.wav,E:min7,guitar,Guitar_Open,E,min7
2147.wav,F:min7,guitar,Guitar_Open,F,min7
2148.wav,F#:min7,guitar,Guitar_Open,F#,min7
2149.wav,G:min7,guitar,Guitar_Open,G,min7
2150.wav,G#:min7,guitar,Guitar_Open,G#,min7
2151.wav,A:min7,guitar,Guitar_Open,A,min7
2152.wav,A#:min7,guitar,Guitar_Open,A#,min7
2153.wav,B:min7,guitar,Guitar_Open,B,min7
2154.wav,C:min7,guitar,Guitar_Open,C,min7
2155.wav,C#:min7,guitar,Guitar_Open,C#,min7
2156.wav,D:min7,guitar,Guitar_Open,D,min7
2157.wav,D:5,guitar,Guitar_Open,D,5
2158.wav,D#:5,guitar,Guitar_Open,D#,5
2159.wav,E:5,guitar,Guitar_Open,E,5
2160.wav,F:5,guitar,Guitar_Open,F,5
2161.wav,F#:5,guitar,Guitar_Open,F#,5
2162.wav,G:5,guitar,Guitar_Open,G,5
2163.wav,G#:5,guitar,Guitar_Open,G#,5
2164.wav,A:5,guitar,Guitar_Open,A,5
2165.wav,A#:5,guitar,Guitar_Open,A#,5
2166.wav,B:5,guitar,Guitar_Open,B,5
2167.wav,C:5,guitar,Guitar_Open,C,5
2168.wav,C#:5,guitar,Guitar_Open,C#,5
2169.wav,D:5,guitar,Guitar_Open,D,5
2170.wav,D:5,guitar,Guitar_Open,D,5
2171.wav,D#:5,guitar,Guitar_Open,D#,5
2172.wav,E:5,guitar,Guitar_Open,E,5
2173.wav,F:5,guitar,Guitar_Open,F,5
2174.wav,F#:5,guitar,Guitar_Open,F#,5
2175.wav,G:5,guitar,Guitar_Open,G,5
2176.wav,G#:5,guitar,Guitar_Open,G#,5
2177.wav,A:5,guitar,Guitar_Open,A,5
2178.wav,A#:5,guitar,Guitar_Open,A#,5
2179.wav,B:5,guitar,Guitar_Open,B,5
2180.wav,C:5,guitar,Guitar_Open,C,5
2181.wav,C#:5,guitar,Guitar_Open,C#,5
2182.wav,D:5,guitar,Guitar_Open,D,5
2183.wav,A:5,guitar,Guitar_Open,A,5
2184.wav,A#:5,guitar,Guitar_Open,A#,5
2185.wav,B:5,guitar,Guitar_Open,B,5
2186.wav,C:5,guitar,Guitar_Open,C,5
2187.wav,C#:5,guitar,Guitar_Open,C#,5
2188.wav,D:5,guitar,Guitar_Open,D,5
2189.wav,D#:5,guitar,Guitar_Open,D#,5
2190.wav,E:5,guitar,Guitar_Open,E,5
2191.wav,F:5,guitar,Guitar_Open,F,5
2192.wav,F#:5,guitar,Guitar_Open,F#,5
2193.wav,G:5,guitar,Guitar_Open,G,5
2194.wav,G#:5,guitar,Guitar_Open,G#,5
2195.wav,A:5,guitar,Guitar_Open,A,5
2196.wav,E:7,guitar,Guitar_Open,E,7
2197.wav,F:7,guitar,Guitar_Open,F,7
2198.wav,F#:7,guitar,Guitar_Open,F#,7
2199.wav,G:7,guitar,Guitar_Open,G,7
2200.wav,G#:7,guitar,Guitar_Open,G#,7
2201.wav,A:7,guitar,Guitar_Open,A,7
2202.wav,A#:7,guitar,Guitar_Open,A#,7
2203.wav,B:7,guitar,Guitar_Open,B,7
2204.wav,C:7,guitar,Guitar_Open,C,7
2205.wav,C#:7,guitar,Guitar_Open,C#,7
2206.wav,D:7,guitar,Guitar_Open,D,7
2207.wav,D#:7,guitar,Guitar_Open,D#,7
2208.wav,E:7,guitar,Guitar_Open,E,7
2209.wav,A:7,guitar,Guitar_Open,A,7
2210.wav,A#:7,guitar,Guitar_Open,A#,7
2211.wav,B:7,guitar,Guitar_Open,B,7
2212.wav,C:7,guitar,Guitar_Open,C,7
2213.wav,C#:7,guitar,Guitar_Open,C#,7
2214.wav,D:7,guitar,Guitar_Open,D,7
2215.wav,D#:7,guitar,Guitar_Open,D#,7
2216.wav,E:7,guitar,Guitar_Open,E,7
2217.wav,F:7,guitar,Guitar_Open,F,7
2218.wav,F#:7,guitar,Guitar_Open,F#,7
2219.wav,G:7,guitar,Guitar_Open,G,7
2220.wav,G#:7,guitar,Guitar_Open,G#,7
2221.wav,A:7,guitar,Guitar_Open,A,7
2222.wav,D:7,guitar,Guitar_Open,D,7
2223.wav,D#:7,guitar,Guitar_Open,D#,7
2224.wav,E:7,guitar,Guitar_Open,E,7
2225.wav,F:7,guitar,Guitar_Open,F,7
2226.wav,F#:7,guitar,Guitar_Open,F#,7
2227.wav,G:7,guitar,Guitar_Open,G,7
2228.wav,G#:7,guitar,Guitar_Open,G#,7
2229.wav,A:7,guitar,Guitar_Open,A,7
2230.wav,A#:7,guitar,Guitar_Open,A#,7
2231.wav,B:7,guitar,Guitar_Open,B,7
2232.wav,C:7,guitar,Guitar_Open,C,7
2233.wav,C#:7,guitar,Guitar_Open,C#,7
2234.wav,D:7,guitar,Guitar_Open,D,7
2235.wav,A:hdim7,guitar,Guitar_Open,A,hdim7
2236.wav,A#:hdim7,guitar,Guitar_Open,A#,hdim7
2237.wav,B:hdim7,guitar,Guitar_Open,B,hdim7
2238.wav,C:hdim7,guitar,Guitar_Open,C,hdim7
2239.wav,C#:hdim7,guitar,Guitar_Open,C#,hdim7
2240.wav,D:hdim7,guitar,Guitar_Open,D,hdim7
2241.wav,D#:hdim7,guitar,Guitar_Open,D#,hdim7
2242.wav,E:hdim7,guitar,Guitar_Open,E,hdim7
2243.wav,F:hdim7,guitar,Guitar_Open,F,hdim7
2244.wav,F#:hdim7,guitar,Guitar_Open,F#,hdim7
2245.wav,G:hdim7,guitar,Guitar_Open,G,hdim7
2246.wav,G#:hdim7,guitar,Guitar_Open,G#,hdim7
2247.wav,A:hdim7,guitar,Guitar_Open,A,hdim7
2248.wav,F:hdim7,guitar,Guitar_Open,F,hdim7
2249.wav,F#:hdim7,guitar,Guitar_Open,F#,hdim7
2250.wav,G:hdim7,guitar,Guitar_Open,G,hdim7
2251.wav,G#:hdim7,guitar,Guitar_Open,G#,hdim7
2252.wav,A:hdim7,guitar,Guitar_Open,A,hdim7
2253.wav,A#:hdim7,guitar,Guitar_Open,A#,hdim7
2254.wav,B:hdim7,guitar,Guitar_Open,B,hdim7
2255.wav,C:hdim7,guitar,Guitar_Open,C,hdim7
2256.wav,C#:hdim7,guitar,Guitar_Open,C#,hdim7
2257.wav,D:hdim7,guitar,Guitar_Open,D,hdim7
2258.wav,D#:hdim7,guitar,Guitar_Open,D#,hdim7
2259.wav,E:hdim7,guitar,Guitar_Open,E,hdim7
2260.wav,F:hdim7,guitar,Guitar_Open,F,hdim7
2261.wav,E:hdim7,guitar,Guitar_Open,E,hdim7
2262.wav,F:hdim7,guitar,Guitar_Open,F,hdim7
2263.wav,F#:hdim7,guitar,Guitar_Open,F#,hdim7
2264.wav,G:hdim7,guitar,Guitar_Open,G,hdim7
2265.wav,G#:hdim7,guitar,Guitar_Open,G#,hdim7
2266.wav,A:hdim7,guitar,Guitar_Open,A,hdim7
2267.wav,A#:hdim7,guitar,Guitar_Open,A#,hdim7
2268.wav,B:hdim7,guitar,Guitar_Open,B,hdim7
2269.wav,C:hdim7,guitar,Guitar_Open,C,hdim7
2270.wav,C#:hdim7,guitar,Guitar_Open,C#,hdim7
2271.wav,D:hdim7,guitar,Guitar_Open,D,hdim7
2272.wav,D#:hdim7,guitar,Guitar_Open,D#,hdim7
2273.wav,E:hdim7,guitar,Guitar_Open,E,hdim7
2274.wav,E:maj,guitar,Campfire,E,maj
2275.wav,F:maj,guitar,Campfire,F,maj
2276.wav,F#:maj,guitar,Campfire,F#,maj
2277.wav,G:maj,guitar,Campfire,G,maj
2278.wav,G#:maj,guitar,Campfire,G#,maj
2279.wav,A:maj,guitar,Campfire,A,maj
2280.wav,A#:maj,guitar,Campfire,A#,maj
2281.wav,B:maj,guitar,Campfire,B,maj
2282.wav,C:maj,guitar,Campfire,C,maj
2283.wav,C#:maj,guitar,Campfire,C#,maj
2284.wav,D:maj,guitar,Campfire,D,maj
2285.wav,D#:maj,guitar,Campfire,D#,maj
2286.wav,E:maj,guitar,Campfire,E,maj
2287.wav,A:maj,guitar,Campfire,A,maj
2288.wav,A#:maj,guitar,Campfire,A#,maj
2289.wav,B:maj,guitar,Campfire,B,maj
2290.wav,C:maj,guitar,Campfire,C,maj
2291.wav,C#:maj,guitar,Campfire,C#,maj
2292.wav,D:maj,guitar,Campfire,D,maj
2293.wav,D#:maj,guitar,Campfire,D#,maj
2294.wav,E:maj,guitar,Campfire,E,maj
2295.wav,F:maj,guitar,Campfire,F,maj
2296.wav,F#:maj,guitar,Campfire,F#,maj
2297.wav,G:maj,guitar,Campfire,G,maj
2298.wav,G#:maj,guitar,Campfire,G#,maj
2299.wav,A:maj,guitar,Campfire,A,maj
2300.wav,D:maj,guitar,Campfire,D,maj
2301.wav,D#:maj,guitar,Campfire,D#,maj
2302.wav,E:maj,guitar,Campfire,E,maj
2303.wav,F:maj,guitar,Campfire,F,maj
2304.wav,F#:maj,guitar,Campfire,F#,maj
2305.wav,G:maj,guitar,Campfire,G,maj
2306.wav,G#:maj,guitar,Campfire,G#,maj
2307.wav,A:maj,guitar,Campfire,A,maj
2308.wav,A#:maj,guitar,Campfire,A#,maj
2309.wav,B:maj,guitar,Campfire,B,maj
2310.wav,C:maj,guitar,Campfire,C,maj
2311.wav,C#:maj,guitar,Campfire,C#,maj
2312.wav,D:maj,guitar,Campfire,D,maj
2313.wav,E:min,guitar,Campfire,E,min
2314.wav,F:min,guitar,Campfire,F,min
2315.wav,F#:min,guitar,Campfire,F#,min
2316.wav,G:min,guitar,Campfire,G,min
2317.wav,G#:min,guitar,Campfire,G#,min
2318.wav,A:min,guitar,Campfire,A,min
2319.wav,A#:min,guitar,Campfire,A#,min
2320.wav,B:min,guitar,Campfire,B,min
2321.wav,C:min,guitar,Campfire,C,min
2322.wav,C#:min,guitar,Campfire,C#,min
2323.wav,D:min,guitar,Campfire,D,min
2324.wav,D#:min,guitar,Campfire,D#,min
2325.wav,E:min,guitar,Campfire,E,min
2326.wav,A:min,guitar,Campfire,A,min
2327.wav,A#:min,guitar,Campfire,A#,min
2328.wav,B:min,guitar,Campfire,B,min
2329.wav,C:min,guitar,Campfire,C,min
2330.wav,C#:min,guitar,Campfire,C#,min
2331.wav,D:min,guitar,Campfire,D,min
2332.wav,D#:min,guitar,Campfire,D#,min
2333.wav,E:min,guitar,Campfire,E,min
2334.wav,F:min,guitar,Campfire,F,min
2335.wav,F#:min,guitar,Campfire,F#,min
2336.wav,G:min,guitar,Campfire,G,min
2337.wav,G#:min,guitar,Campfire,G#,min
2338.wav,A:min,guitar,Campfire,A,min
2339.wav,D:min,guitar,Campfire,D,min
2340.wav,D#:min,guitar,Campfire,D#,min
2341.wav,E:min,guitar,Campfire,E,min
2342.wav,F:min,guitar,Campfire,F,min
2343.wav,F#:min,guitar,Campfire,F#,min
2344.wav,G:min,guitar,Campfire,G,min
2345.wav,G#:min,guitar,Campfire,G#,min
2346.wav,A:min,guitar,Campfire,A,min
2347.wav,A#:min,guitar,Campfire,A#,min
2348.wav,B:min,guitar,Campfire,B,min
2349.wav,C:min,guitar,Campfire,C,min
2350.wav,C#:min,guitar,Campfire,C#,min
2351.wav,D:min,guitar,Campfire,D,min
2352.wav,E:maj7,guitar,Campfire,E,maj7
2353.wav,F:maj7,guitar,Campfire,F,maj7
2354.wav,F#:maj7,guitar,Campfire,F#,maj7
2355.wav,G:maj7,guitar,Campfire,G,maj7
2356.wav,G#:maj7,guitar,Campfire,G#,maj7
2357.wav,A:maj7,guitar,Campfire,A,maj7
2358.wav,A#:maj7,guitar,Campfire,A#,maj7
2359.wav,B:maj7,guitar,Campfire,B,maj7
2360.wav,C:maj7,guitar,Campfire,C,maj7
2361.wav,C#:maj7,guitar,Campfire,C#,maj7
2362.wav,D:maj7,guitar,Campfire,D,maj7
2363.wav,D#:maj7,guitar,Campfire,D#,maj7
2364.wav,E:maj7,guitar,Campfire,E,maj7
2365.wav,C:maj7,guitar,Campfire,C,maj7
2366.wav,C#:maj7,guitar,Campfire,C#,maj7
2367.wav,D:maj7,guitar,Campfire,D,maj7
2368.wav,D#:maj7,guitar,Campfire,D#,maj7
2369.wav,E:maj7,guitar,Campfire,E,maj7
2370.wav,F:maj7,guitar,Campfire,F,maj7
2371.wav,F#:maj7,guitar,Campfire,F#,maj7
2372.wav,G:maj7,guitar,Campfire,G,maj7
2373.wav,G#:maj7,guitar,Campfire,G#,maj7
2374.wav,A:maj7,guitar,Campfire,A,maj7
2375.wav,A#:maj7,guitar,Campfire,A#,maj7
2376.wav,B:maj7,guitar,Campfire,B,maj7
2377.wav,C:maj7,guitar,Campfire,C,maj7
2378.wav,F:maj7,guitar,Campfire,F,maj7
2379.wav,F#:maj7,guitar,Campfire,F#,maj7
2380.wav,G:maj7,guitar,Campfire,G,maj7
2381.wav,G#:maj7,guitar,Campfire,G#,maj7
2382.wav,A:maj7,guitar,Campfire,A,maj7
2383.wav,A#:maj7,guitar,Campfire,A#,maj7
2384.wav,B:maj7,guitar,Campfire,B,maj7
2385.wav,C:maj7,guitar,Campfire,C,maj7
2386.wav,C#:maj7,guitar,Campfire,C#,maj7
2387.wav,D:maj7,guitar,Campfire,D,maj7
2388.wav,D#:maj7,guitar,Campfire,D#,maj7
2389.wav,E:maj7,guitar,Campfire,E,maj7
2390.wav,F:maj7,guitar,Campfire,F,maj7
2391.wav,E:min7,guitar,Campfire,E,min7
2392.wav,F:min7,guitar,Campfire,F,min7
2393.wav,F#:min7,guitar,Campfire,F#,min7
2394.wav,G:min7,guitar,Campfire,G,min7
2395.wav,G#:min7,guitar,Campfire,G#,min7
2396.wav,A:min7,guitar,Campfire,A,min7
2397.wav,A#:min7,guitar,Campfire,A#,min7
2398.wav,B:min7,guitar,Campfire,B,min7
2399.wav,C:min7,guitar,Campfire,C,min7
2400.wav,C#:min7,guitar,Campfire,C#,min7
2401.wav,D:min7,guitar,Campfire,D,min7
2402.wav,D#:min7,guitar,Campfire,D#,min7
2403.wav,E:min7,guitar,Campfire,E,min7
2404.wav,A:min7,guitar,Campfire,A,min7
2405.wav,A#:min7,guitar,Campfire,A#,min7
2406.wav,B:min7,guitar,Campfire,B,min7
2407.wav,C:min7,guitar,Campfire,C,min7
2408.wav,C#:min7,guitar,Campfire,C#,min7
2409.wav,D:min7,guitar,Campfire,D,min7
2410.wav,D#:min7,guitar,Campfire,D#,min7
2411.wav,E:min7,guitar,Campfire,E,min7
2412.wav,F:min7,guitar,Campfire,F,min7
2413.wav,F#:min7,guitar,Campfire,F#,min7
2414.wav,G:min7,guitar,Campfire,G,min7
2415.wav,G#:min7,guitar,Campfire,G#,min7
2416.wav,A:min7,guitar,Campfire,A,min7
2417.wav,D:min7,guitar,Campfire,D,min7
2418.wav,D#:min7,guitar,Campfire,D#,min7
2419.wav,E:min7,guitar,Campfire,E,min7
2420.wav,F:min7,guitar,Campfire,F,min7
2421.wav,F#:min7,guitar,Campfire,F#,min7
2422.wav,G:min7,guitar,Campfire,G,min7
2423.wav,G#:min7,guitar,Campfire,G#,min7
2424.wav,A:min7,guitar,Campfire,A,min7
2425.wav,A#:min7,guitar,Campfire,A#,min7
2426.wav,B:min7,guitar,Campfire,B,min7
2427.wav,C:min7,guitar,Campfire,C,min7
2428.wav,C#:min7,guitar,Campfire,C#,min7
2429.wav,D:min7,guitar,Campfire,D,min7
2430.wav,D:5,guitar,Campfire,D,5
2431.wav,D#:5,guitar,Campfire,D#,5
2432.wav,E:5,guitar,Campfire,E,5
2433.wav,F:5,guitar,Campfire,F,5
2434.wav,F#:5,guitar,Campfire,F#,5
2435.wav,G:5,guitar,Campfire,G,5
2436.wav,G#:5,guitar,Campfire,G#,5
2437.wav,A:5,guitar,Campfire,A,5
2438.wav,A#:5,guitar,Campfire,A#,5
2439.wav,B:5,guitar,Campfire,B,5
2440.wav,C:5,guitar,Campfire,C,5
2441.wav,C#:5,guitar,Campfire,C#,5
2442.wav,D:5,guitar,Campfire,D,5
2443.wav,D:5,guitar,Campfire,D,5
2444.wav,D#:5,guitar,Campfire,D#,5
2445.wav,E:5,guitar,Campfire,E,5
2446.wav,F:5,guitar,Campfire,F,5
2447.wav,F#:5,guitar,Campfire,F#,5
2448.wav,G:5,guitar,Campfire,G,5
2449.wav,G#:5,guitar,Campfire,G#,5
